gstin,pan_number,business_name,proprietor,registered_address,pin_code,state,district_name,constitution,business_activity,contact_number,email_id,date_of_registration,last_return_date,registration_status
,QAHCE7680N,Pillai Mills,Suresh Pillai,"No. 367, 5th Layout, BTM Layout, Bengaluru - 560071",560071,Karnataka,Bengaluru Urban,proprietorship,construction,,,07/02/2016,14-02-2025,Active
,LDXPR2683G,Rao & Sons,,"No. 428, 3rd Main Road, Sarjapur Road, Bengaluru - 560060",560060,Karnataka,Bengaluru Rural,proprietorship,trading,,,2010-04-10,15/02/2024,Default in Filing
29BXOTK2486EFZZ,BXOTK2486E,Patil Engineers,,"No. 71, 5th Layout, HSR Layout, Bengaluru - 560048",560048,Karnataka,Bengaluru Urban,public_ltd,manufacturing,,ajay.patil@gmail.com,20-12-2011,28/10/2025,ACTIVE
29EASTI9751UWZC,,Murthy Constructions,Nagaraj Murthy,"No. 166, 4th Road, Mahadevapura, Bengaluru - 560001",560001,Karnataka,Bengaluru Urban,llp,services,+917883089040,nagaraj.murthy@yahoo.co.in,29/05/2007,14/09/2026,ACTIVE
29ZYTTG7363QFZE,ZYTTG7363Q,Kumar Engineers,Kiran Kumar,"No. 4, 1st Street, HSR Layout, Bengaluru - 560076",560076,Karnataka,Bengaluru Urban,llp,services,+918003524578,kiran.kumar@outlook.com,2018-04-05,06/11/2026,Registered
29JKWPV6607ZFZC,JKWPV6607Z,Deshmukh Technologies,,"No. 237, 2nd Avenue, Marathahalli, Bengaluru - 560022",560022,Karnataka,Bengaluru Urban,llp,construction,+916880650072,vinod.deshmukh@outlook.com,03/08/2009,03/12/2020,Struck Off
29AKYHJ4995WCZI,AKYHJ4995W,Gowda Engineers,Raghav Gowda,"No. 161, 1st Road, Hoodi, Bengaluru - 560004",560004,Karnataka,Bengaluru Rural,proprietorship,technology,+918058008495,raghav.gowda@gmail.com,21-10-2018,20/06/2026,Active
29YFSCI3623Y0ZT,YFSCI3623Y,Patel Constructions,Varun Patel,"No. 68, 3rd Road, Marathahalli, Bengaluru - 560066",560066,Karnataka,Bengaluru Urban,pvt_ltd,services,,varun.patel@gmail.com,2005-03-06,09/06/2023,Inactive
,HFITU8529B,Gupta Trading Co.,Rajesh Gupta,"No. 67, 3rd Main Road, Brookefield, Bengaluru - 560045",560045,Karnataka,Bengaluru Rural,pvt_ltd,trading,+916519610354,rajesh.gupta@gmail.com,15/10/2001,13-09-2025,active
29CUWHT7921ZQZ1,CUWHT7921Z,Shah & Co.,Mohan Shah,"No. 404, 1st Layout, Electronic City, Bengaluru - 560038",560038,Karnataka,Bengaluru Urban,pvt_ltd,trading,+916284372013,mohan.shah@gmail.com,07/11/2022,03/07/2024,Default in Filing
