cin,company_name,entity_type,director_name,full_address,pincode,state_name,city,pan,industry,incorporation_date,last_annual_return,current_status
U24505KA2011PTC469458,Patil Engineers,Public Ltd,Ajay Patil,"No. 71, 5th Layout, HSR Layout, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Urban,BXOTK2486E,manufacturing,20-12-2011,28/10/2025,Active
U49178KA2007PTC466942,Murthy Constructions,Llp,Nagaraj Murthy,"No. 166, 4th Road, Mahadevapura, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Urban,EASTI9751U,services,29/05/2007,14/09/2026,Active
U29749KA4-05PTC835571,Kumar Engineers,Llp,Kiran Kumar,"No. 4, 1st Street, HSR Layout, Bengaluru - 560076",560076,KARNATAKA,Bengaluru Urban,ZYTTG7363Q,services,2018-04-05,06/11/2026,Active
U32389KA2009PTC741346,Deshmukh Technologies,Llp,Vinod Deshmukh,"No. 237, 2nd Avenue, Marathahalli, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Urban,,construction,03/08/2009,03/12/2020,Dissolved
U50376KA3-06PTC746701,Patel Constructions,Pvt Ltd,Varun Patel,"No. 68, 3rd Road, Marathahalli, Bengaluru - 560066",560066,KARNATAKA,Bengaluru Urban,YFSCI3623Y,services,2005-03-06,09/06/2023,Dormant under section 455
U88950KA2001PTC386081,Gupta Trading Co.,Pvt Ltd,Rajesh Gupta,"No. 67, 3rd Main Road, Brookefield, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Rural,,trading,15/10/2001,13-09-2025,Active
U27891KA2022PTC707473,Shah & Co.,Pvt Ltd,Mohan Shah,"No. 404, 1st Layout, Electronic City, Bengaluru - 560038",,KARNATAKA,Bengaluru Urban,CUWHT7921Z,trading,07/11/2022,03/07/2024,Dormant under section 455
U64002KA9-16PTC543601,Prasad Manufacturing,Pvt Ltd,Mahesh Prasad,"No. 1, 5th Avenue, Banashankari, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Urban,,construction,2005-09-16,24-01-2026,Active
U61951KA2008PTC607962,Nair Mills,Llp,,"No. 338, 1st Cross, Electronic City, Bengaluru - 560102",,KARNATAKA,Bengaluru Rural,TEOHR8327T,construction,20-09-2008,21/05/2024,Dormant under section 455
U99091KA2012PTC622222,Kamath Mills,Partnership,Neha Kamath,"No. 314, 5th Layout, Yelahanka, Bengaluru - 560103",560103,KARNATAKA,Bengaluru Rural,GRAPY4195B,trading,09/03/2012,2026-07-08,Active
