udyam_number,enterprise_name,applicant_name,premises_address,pin,state,district,mobile,email_address,nic_code,activity,established_date,last_activity_date,entity_status
UDYAM-KA-16-9509041,Verma Associates,Mukesh Verma,"No. 91, 2nd Extension, Koramangala, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Rural,6919916277,mukesh.verma@rediffmail.com,95492,technology,18-09-2000,2022-05-05,Inactive
UDYAM-KA-19-1677408,Patel Constructions,Varun Patel,"No. 68, 3rd Road, Marathahalli, Bengaluru - 560066",560066,KARNATAKA,Bengaluru Urban,7245398565,,11437,services,2005-03-06,09/06/2023,Inactive
UDYAM-KA-23-2538925,Rao Manufacturing,Lakshmi Rao,"No. 478, 3rd Avenue, Basavanagudi, Bengaluru - 560094",560094,Karnataka,Bengaluru Urban,9897114798,,82596,technology,2012-06-28,2025-05-11,Active
UDYAM-KA-30-4164756,Gupta & Sons,Pooja Gupta,"No. 413, 2nd Main Road, Yelahanka, Bengaluru - 560040",560040,KARNATAKA,Bengaluru Rural,,pooja.gupta@yahoo.co.in,81735,services,17-06-2014,27-12-2025,Active
UDYAM-KA-22-1031521,Patel Services,Venkatesh Patel,"No. 137, 1st Main Road, Hoodi, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Rural,9215178023,venkatesh.patel@rediffmail.com,14764,construction,11-11-2003,2020-06-29,Inactive
UDYAM-KA-12-6749445,Kumar Associates,Manoj Kumar,"No. 1, 4th Main Road, Malleshwaram, Bengaluru - 560073",560073,KARNATAKA,Bengaluru Urban,,manoj.kumar@rediffmail.com,41743,manufacturing,01-03-2021,08/09/2025,Active
UDYAM-KA-16-0900550,Patel Works,Arun Patel,"No. 445, 4th Extension, Indiranagar, Bengaluru - 560066",560066,KARNATAKA,Bengaluru Rural,,arun.patel@yahoo.co.in,83441,manufacturing,02-12-2014,03-10-2021,Inactive
UDYAM-KA-05-4871763,Naidu & Co.,Sohan Naidu,"No. 255, 1st Road, Mahadevapura, Bengaluru - 560092",560092,Karnataka,Bengaluru Rural,8765859272,sohan.naidu@yahoo.co.in,72363,manufacturing,2017-09-15,,Inactive
UDYAM-KA-06-5334948,Bhat Works,Rohan Bhat,"No. 375, 4th Main Road, Brookefield, Bengaluru - 560043",560043,Karnataka,Bengaluru Urban,,rohan.bhat@outlook.com,50970,manufacturing,03-08-2000,2026-01-30,Active
UDYAM-KA-01-0869560,Pai Exports,Neha Pai,"No. 53, 3rd Extension, Hebbal, Bengaluru - 560068",560068,KARNATAKA,Bengaluru Urban,8313116354,,54163,trading,16/10/2011,,Inactive
UDYAM-KA-03-9656945,Mishra Brothers,Vijay Mishra,"No. 310, 2nd Street, Jayanagar, Bengaluru - 560073",560073,Karnataka,Bengaluru Rural,,vijay.mishra@outlook.com,89862,technology,13/04/2005,21/12/2024,Inactive
UDYAM-KA-20-1190892,Murthy & Sons,Nagaraj Murthy,"No. 483, 4th Road, Electronic City, Bengaluru - 560055",560055,KARNATAKA,Bengaluru Urban,,,34405,construction,09/11/2005,20-09-2026,Active
UDYAM-KA-10-4597792,Kamath Services,Priya Kamath,"No. 296, 4th Layout, Sarjapur Road, Bengaluru - 560037",560037,KARNATAKA,Bengaluru Rural,6095495204,priya.kamath@outlook.com,46663,trading,09/11/2004,26/01/2025,Active
UDYAM-KA-25-4545512,Shah Trading Co.,Mohan Shah,"No. 413, 5th Extension, Koramangala, Bengaluru - 560064",560064,Karnataka,Bengaluru Urban,7995605920,mohan.shah@gmail.com,26893,construction,07-02-2010,,Active
UDYAM-KA-30-3706008,Rao Works,Sunita Rao,"No. 40, 2nd Cross, Hoodi, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Rural,8698673026,sunita.rao@rediffmail.com,70523,trading,2000-01-21,2026-03-06,Active
UDYAM-KA-19-1634874,Reddy Services,Arun Reddy,"No. 280, 2nd Extension, Varthur, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Rural,8399508085,arun.reddy@gmail.com,98670,construction,28/07/2018,10/07/2026,Active
UDYAM-KA-29-4072544,Murthy & Sons,Kavita Murthy,"No. 155, 3rd Layout, Marathahalli, Bengaluru - 560011",560011,Karnataka,Bengaluru Urban,9122739746,kavita.murthy@outlook.com,31984,manufacturing,2013-08-31,11-11-2021,Inactive
UDYAM-KA-12-1316291,Jain Solutions,Kiran Jain,"No. 392, 3rd Layout, Brookefield, Bengaluru - 560010",560010,KARNATAKA,Bengaluru Rural,7241963318,,19671,technology,2010-07-14,2026-06-04,Active
UDYAM-KA-17-0024422,Menon Exports,Lakshmi Menon,"No. 246, 1st Road, Bommanahalli, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Rural,,lakshmi.menon@rediffmail.com,22428,construction,27/09/2021,25/10/2022,Inactive
UDYAM-KA-14-5058906,Shenoy Solutions,Raghav Shenoy,"No. 129, 1st Extension, Electronic City, Bengaluru - 560073",560073,Karnataka,Bengaluru Rural,6696368384,,56354,manufacturing,19/02/2020,27-08-2025,Active
UDYAM-KA-04-6683568,Kumar Exports,Mahesh Kumar,"No. 73, 3rd Layout, Rajajinagar, Bengaluru - 560010",,KARNATAKA,Bengaluru Urban,9976094002,,11701,trading,2021-07-08,,Inactive
UDYAM-KA-01-2297631,Jain Brothers,Lakshmi Jain,"No. 472, 2nd Road, Malleshwaram, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,8587569877,lakshmi.jain@gmail.com,25652,construction,2003-06-05,18/01/2023,Inactive
UDYAM-KA-01-4171564,Iyer Services,Divya Iyer,"No. 410, 5th Avenue, Bellandur, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Urban,6606215936,,79124,manufacturing,2003-02-17,07/04/2026,Active
UDYAM-KA-19-6419281,Kulkarni Manufacturing,Sunita Kulkarni,"No. 1, 5th Avenue, MG Road, Bengaluru - 560041",560041,Karnataka,Bengaluru Urban,7256472775,sunita.kulkarni@gmail.com,40626,technology,16/06/2008,14/06/2022,Inactive
UDYAM-KA-27-9126607,Iyer Constructions,Ritu Iyer,"No. 323, 1st Layout, Yelahanka, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Urban,6495056105,ritu.iyer@yahoo.co.in,12775,construction,2003-05-13,06/06/2026,Active
UDYAM-KA-18-0208836,Shah Constructions,Sanjay Shah,"No. 102, 5th Extension, Whitefield, Bengaluru - 560103",560103,KARNATAKA,Bengaluru Rural,9013446536,,58389,construction,03-06-2013,06-06-2026,Active
UDYAM-KA-25-6708807,Pai & Sons,Anita Pai,"No. 406, 1st Main Road, Indiranagar, Bengaluru - 560010",560010,Karnataka,Bengaluru Urban,7572639742,,63235,manufacturing,11-02-2011,,Active
UDYAM-KA-30-3185549,Murthy Constructions,Nagaraj Murthy,"No. 166, 4th Road, Mahadevapura, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Urban,7883089040,,74154,services,29/05/2007,14/09/2026,Active
UDYAM-KA-27-7247801,Rao Solutions,Lakshmi Rao,"No. 308, 5th Cross, Jayanagar, Bengaluru - 560030",560030,KARNATAKA,Bengaluru Urban,8828338125,lakshmi.rao@yahoo.co.in,15710,technology,06/06/2022,,Active
UDYAM-KA-05-1539468,Swamy Engineers,Varun Swamy,"No. 41, 4th Street, Peenya, Bengaluru - 560034",560034,KARNATAKA,Bengaluru Rural,7114635928,varun.swamy@outlook.com,79959,manufacturing,11/11/2017,28/03/2026,Active
UDYAM-KA-23-4733650,Sharma & Co.,Varun Sharma,"No. 152, 2nd Street, Basavanagudi, Bengaluru - 560011",560011,Karnataka,Bengaluru Urban,,varun.sharma@outlook.com,28930,services,29-10-2020,2026-10-05,Active
UDYAM-KA-16-2837378,Bhat Pvt Ltd,Krishna Bhat,"No. 343, 1st Cross, MG Road, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Urban,7216711456,,16451,technology,31/01/2009,,Inactive
UDYAM-KA-29-9167191,Shetty & Sons,Manoj Shetty,"No. 13, 2nd Layout, Yelahanka, Bengaluru - 560043",560043,Karnataka,Bengaluru Urban,,manoj.shetty@gmail.com,61133,technology,14-12-2022,14-02-2022,Inactive
UDYAM-KA-15-2666441,Kamath Mills,Ajay Kamath,"No. 349, 1st Main Road, Indiranagar, Bengaluru - 560085",560085,KARNATAKA,Bengaluru Rural,6518531876,,10587,manufacturing,2002-03-24,2021-03-14,Inactive
UDYAM-KA-17-9171297,Singh Manufacturing,Kiran Singh,"No. 37, 3rd Road, Indiranagar, Bengaluru - 560009",560009,KARNATAKA,Bengaluru Urban,7133862799,kiran.singh@rediffmail.com,17984,manufacturing,22/08/2012,18/02/2024,Inactive
UDYAM-KA-29-2308321,Menon Manufacturing,Sanjay Menon,"No. 248, 4th Cross, Malleshwaram, Bengaluru - 560078",560078,KARNATAKA,Bengaluru Urban,,sanjay.menon@rediffmail.com,47499,technology,25-11-2008,14-05-2023,Inactive
UDYAM-KA-04-1449323,Shetty & Sons,Rekha Shetty,"No. 95, 3rd Cross, Varthur, Bengaluru - 560010",560010,KARNATAKA,Bengaluru Rural,9692497310,rekha.shetty@gmail.com,63997,construction,2014-12-03,2025-09-29,Active
UDYAM-KA-28-5428920,Gowda Enterprises,Sunita Gowda,"No. 470, 2nd Avenue, Varthur, Bengaluru - 560076",560076,KARNATAKA,Bengaluru Urban,,,41434,trading,2016-01-03,29/06/2023,Inactive
UDYAM-KA-28-2030967,Reddy Brothers,Raghav Reddy,"No. 190, 1st Extension, Bellandur, Bengaluru - 560055",560055,KARNATAKA,Bengaluru Rural,9881968747,raghav.reddy@rediffmail.com,27867,technology,08/09/2021,30/08/2026,Active
UDYAM-KA-05-5562704,Bhat Agency,Pramod Bhat,"No. 157, 4th Extension, Brookefield, Bengaluru - 560047",560047,KARNATAKA,Bengaluru Urban,,,81559,technology,04-03-2018,,Active
UDYAM-KA-30-6513949,Tiwari Technologies,Mukesh Tiwari,"No. 82, 1st Avenue, Yelahanka, Bengaluru - 560029",560029,Karnataka,Bengaluru Rural,8265082022,,40142,services,01/05/2014,12-10-2026,Active
UDYAM-KA-08-7280854,Shah Mills,Rajesh Shah,"No. 385, 4th Road, Mahadevapura, Bengaluru - 560079",560079,KARNATAKA,Bengaluru Urban,,rajesh.shah@outlook.com,92189,manufacturing,2018-12-01,30-11-2026,Active
UDYAM-KA-26-4590829,Kulkarni Enterprises,Venkatesh Kulkarni,"No. 393, 3rd Avenue, ITPL Main Road, Bengaluru - 560100",560100,KARNATAKA,Bengaluru Urban,6926212953,venkatesh.kulkarni@yahoo.co.in,11980,manufacturing,29/07/2003,,Active
UDYAM-KA-15-7586262,Hegde Technologies,Vijay Hegde,"No. 448, 2nd Avenue, MG Road, Bengaluru - 560053",,Karnataka,Bengaluru Rural,,vijay.hegde@gmail.com,40754,manufacturing,2021-03-08,,Active
UDYAM-KA-16-1115691,Swamy Constructions,Neha Swamy,"No. 132, 4th Cross, Hoodi, Bengaluru - 560018",560018,Karnataka,Bengaluru Rural,7827382082,,35885,construction,2004-11-26,2026-02-02,Active
UDYAM-KA-18-4510086,Kulkarni Services,Ganesh Kulkarni,"No. 149, 1st Street, Whitefield, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Rural,6261005112,,24688,manufacturing,2004-01-17,11/08/2025,Active
UDYAM-KA-18-4859884,Agarwal Works,Mohan Agarwal,"No. 153, 4th Road, JP Nagar, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Urban,,mohan.agarwal@yahoo.co.in,65144,trading,05/10/2004,,Active
UDYAM-KA-07-5160032,Patel Brothers,Neha Patel,"No. 244, 3rd Street, Yelahanka, Bengaluru - 560076",560076,KARNATAKA,Bengaluru Urban,7381811945,,47777,trading,31-01-2005,2022-06-30,Inactive
UDYAM-KA-03-9113249,Bhat Pvt Ltd,Arun Bhat,"No. 425, 1st Road, JP Nagar, Bengaluru - 560037",560037,KARNATAKA,Bengaluru Urban,6747047594,,50392,trading,22-11-2001,2022-12-02,Inactive
UDYAM-KA-25-0234618,Nair Services,Deepa Nair,"No. 276, 1st Street, Brookefield, Bengaluru - 560018",560018,Karnataka,Bengaluru Urban,8984616189,,75192,services,17/03/2010,,Active
UDYAM-KA-01-9413022,Sharma Constructions,Mohan Sharma,"No. 272, 1st Extension, Indiranagar, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Rural,8462011894,mohan.sharma@yahoo.co.in,77316,manufacturing,02/05/2016,15/09/2025,Active
UDYAM-KA-21-7029810,Tiwari Engineers,Arun Tiwari,"No. 37, 2nd Cross, Basavanagudi, Bengaluru - 560034",560034,Karnataka,Bengaluru Urban,6179146701,arun.tiwari@rediffmail.com,30987,technology,2021-02-17,,Inactive
UDYAM-KA-26-6224258,Verma Industries,Varun Verma,"No. 190, 3rd Cross, Peenya, Bengaluru - 560102",560102,KARNATAKA,Bengaluru Rural,6606134909,,62489,services,27/11/2005,,Active
UDYAM-KA-26-6851628,Shah & Co.,Mohan Shah,"No. 404, 1st Layout, Electronic City, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,,mohan.shah@gmail.com,13558,trading,07/11/2022,,Inactive
UDYAM-KA-15-2588110,Shenoy Pvt Ltd,Raghav Shenoy,"No. 269, 1st Avenue, Jayanagar, Bengaluru - 560092",560092,KARNATAKA,Bengaluru Urban,9748270536,,55918,construction,18-04-2000,2025-01-13,Active
UDYAM-KA-28-4935600,Gowda Brothers,Ramesh Gowda,"No. 287, 3rd Road, Varthur, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Rural,,ramesh.gowda@yahoo.co.in,97104,technology,28/02/2016,,Active
UDYAM-KA-26-6177976,Swamy & Co.,Vinod Swamy,"No. 263, 3rd Layout, Jayanagar, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Urban,8956040839,,22423,services,09/03/2019,2026-07-19,Active
UDYAM-KA-25-8834134,Rao Mills,Ajay Rao,"No. 81, 3rd Cross, Jayanagar, Bengaluru - 560064",560064,KARNATAKA,Bengaluru Urban,,,42409,manufacturing,18-08-2022,,Inactive
UDYAM-KA-08-9910816,Kulkarni Industries,Mukesh Kulkarni,"No. 75, 1st Cross, Brookefield, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Rural,6269386984,mukesh.kulkarni@outlook.com,43849,construction,26/02/2006,10/12/2026,Active
UDYAM-KA-18-3751809,Pillai Corporation,Sunil Pillai,"No. 358, 5th Extension, Indiranagar, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Rural,6743014903,sunil.pillai@gmail.com,69697,construction,2019-05-21,,Active
UDYAM-KA-24-7721463,Tiwari Works,Anita Tiwari,"No. 352, 5th Street, MG Road, Bengaluru - 560037",560037,KARNATAKA,Bengaluru Urban,,anita.tiwari@outlook.com,77752,services,17/11/2015,10/10/2025,Active
UDYAM-KA-25-9658482,Pandey Works,Rajesh Pandey,"No. 386, 4th Avenue, Rajajinagar, Bengaluru - 560047",560047,KARNATAKA,Bengaluru Rural,8424367789,rajesh.pandey@gmail.com,61694,construction,2001-03-20,,Active
